,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
126392,1.669677734375,-1854983.6857142856,1844705.9246190859,1,0,26.60934,POINT (1844705.9246190859 -1854983.6857142856),1047433,-66.25468138061504,135.15935163210005,,2022-01-09,28.27901840209961,20.127511180633057
127639,1.9529190063476562,-1855014.224489796,1844705.9246190859,1,0,26.484678,POINT (1844705.9246190859 -1855014.224489796),1047435,-66.25414932415354,135.15920212215195,,2022-01-09,28.437597274780273,28.482633036363374
127640,2.096576690673828,-1855014.224489796,1844735.3969526866,1,0,26.34102,POINT (1844735.3969526866 -1855014.224489796),1047435,-66.25414932415354,135.15920212215195,,2022-01-09,28.437597274780273,1.0464607471580356
128888,1.813711166381836,-1855044.7632653061,1844764.869286287,1,0,26.70789,POINT (1844764.869286287 -1855044.7632653061),1047437,-66.25361714129185,135.15905242783742,,2022-01-09,28.5216007232666,18.56719378975592
128889,1.555419921875,-1855044.7632653061,1844794.3416198879,1,0,26.96618,POINT (1844794.3416198879 -1855044.7632653061),1047437,-66.25361714129185,135.15905242783742,,2022-01-09,28.5216007232666,14.762687898581634
130135,1.4438705444335938,-1855075.3020408163,1844764.869286287,1,0,27.07773,POINT (1844764.869286287 -1855075.3020408163),1047437,-66.25361714129185,135.15905242783742,,2022-01-09,28.5216007232666,28.39022652923674
130136,1.5370635986328125,-1855075.3020408163,1844794.3416198879,1,0,26.984537,POINT (1844794.3416198879 -1855075.3020408163),1047437,-66.25361714129185,135.15905242783742,,2022-01-09,28.5216007232666,26.06148942685271
130137,1.8148918151855469,-1855075.3020408163,1844823.8139534884,1,0,26.826847,POINT (1844823.8139534884 -1855075.3020408163),1047439,-66.25308455850555,135.1589022379813,,2022-01-09,28.641738891601562,16.032652790500244
130138,1.5981101989746094,-1855075.3020408163,1844853.286287089,1,0,27.043629,POINT (1844853.286287089 -1855075.3020408163),1047439,-66.25308455850555,135.1589022379813,,2022-01-09,28.641738891601562,28.473814929765048
131384,1.4150981903076172,-1855105.8408163264,1844823.8139534884,1,0,27.22664,POINT (1844823.8139534884 -1855105.8408163264),1047439,-66.25308455850555,135.1589022379813,,2022-01-09,28.641738891601562,16.32151504908822
131385,1.4469852447509766,-1855105.8408163264,1844853.286287089,1,0,27.194754,POINT (1844853.286287089 -1855105.8408163264),1047439,-66.25308455850555,135.1589022379813,,2022-01-09,28.641738891601562,28.63745859274857
131386,1.3897037506103516,-1855105.8408163264,1844882.7586206896,1,0,27.425478,POINT (1844882.7586206896 -1855105.8408163264),1047441,-66.25255178798055,135.15875286358988,,2022-01-09,28.815181732177734,23.39684318689109
132632,1.5854625701904297,-1855136.3795918366,1844853.286287089,1,0,27.22972,POINT (1844853.286287089 -1855136.3795918366),1047441,-66.25255178798055,135.15875286358988,,2022-01-09,28.815181732177734,24.590204038813347
132633,1.510427474975586,-1855136.3795918366,1844882.7586206896,1,0,27.304754,POINT (1844882.7586206896 -1855136.3795918366),1047441,-66.25255178798055,135.15875286358988,,2022-01-09,28.815181732177734,10.115562954485595
